Start time          	End time            	Sensor
2008-02-25 17:55:15	2008-02-25 17:55:16	Cups cupboard
2008-02-25 17:55:27	2008-02-25 17:55:29	Fridge
2008-02-25 17:55:42	2008-02-25 17:55:46	Fridge
2008-02-25 18:31:58	2008-02-25 18:32:02	Hall-Bathroom door
2008-02-25 18:32:08	2008-02-25 18:32:09	Hall-Bathroom door
2008-02-25 18:33:05	2008-02-25 18:33:06	ToiletFlush
2008-02-25 18:33:33	2008-02-25 18:33:35	Hall-Bathroom door
2008-02-25 19:21:34	2008-02-25 19:21:35	Hall-Bedroom door
2008-02-25 19:21:39	2008-02-25 19:21:49	Hall-Bedroom door
2008-02-25 19:36:17	2008-02-25 19:36:18	Cups cupboard
2008-02-25 19:40:27	2008-02-25 19:40:46	Groceries Cupboard
2008-02-25 19:40:47	2008-02-25 19:40:59	Fridge
2008-02-25 19:41:00	2008-02-25 19:41:01	Fridge
2008-02-25 19:41:03	2008-02-25 19:41:04	Fridge
2008-02-25 19:41:09	2008-02-25 19:41:10	Fridge
2008-02-25 19:41:23	2008-02-25 19:41:41	Fridge
2008-02-25 19:41:42	2008-02-25 19:43:04	Groceries Cupboard
2008-02-25 19:47:03	2008-02-25 19:47:06	Fridge
2008-02-25 19:54:10	2008-02-25 19:54:14	Plates cupboard
2008-02-25 19:56:00	2008-02-25 19:56:01	Pans Cupboard
2008-02-25 19:56:03	2008-02-25 23:11:38	Pans Cupboard
2008-02-25 19:56:20	2008-02-25 19:56:21	Cups cupboard
2008-02-25 19:56:25	2008-02-25 19:56:31	Cups cupboard
2008-02-25 19:57:19	2008-02-25 19:57:35	Freezer
2008-02-25 20:00:33	2008-02-25 20:00:36	Fridge
2008-02-25 20:00:50	2008-02-25 20:00:52	Fridge
2008-02-25 20:01:46	2008-02-25 20:01:49	Fridge
2008-02-25 20:01:56	2008-02-25 20:01:58	Plates cupboard
2008-02-25 20:04:20	2008-02-25 20:04:21	Microwave
2008-02-25 20:04:46	2008-02-25 20:10:43	Microwave
2008-02-25 20:10:44	2008-02-25 20:10:45	Fridge
2008-02-25 20:18:03	2008-02-25 20:18:04	Fridge
2008-02-25 20:19:49	2008-02-25 20:19:57	Plates cupboard
2008-02-25 20:20:29	2008-02-25 20:20:33	Fridge
2008-02-25 20:23:14	2008-02-25 20:23:17	Fridge
2008-02-25 20:23:32	2008-02-25 20:23:36	Fridge
2008-02-25 21:08:49	2008-02-25 21:08:50	Hall-Toilet door
2008-02-25 21:08:51	2008-02-25 21:08:52	Hall-Toilet door
2008-02-25 21:45:40	2008-02-25 21:45:44	Fridge
2008-02-25 21:51:32	2008-02-25 21:51:33	Hall-Bathroom door
2008-02-25 21:51:37	2008-02-25 21:51:43	Hall-Bathroom door
2008-02-25 21:52:08	2008-02-25 21:52:09	ToiletFlush
2008-02-25 21:52:29	2008-02-25 21:52:31	Hall-Bathroom door
2008-02-25 21:54:46	2008-02-25 21:55:17	Frontdoor
2008-02-25 21:55:35	2008-02-25 21:55:39	Plates cupboard
2008-02-25 21:56:02	2008-02-25 21:56:04	Microwave
2008-02-25 21:59:02	2008-02-25 21:59:05	Microwave
2008-02-25 23:05:57	2008-02-25 23:05:58	Dishwasher
2008-02-25 23:06:02	2008-02-25 23:19:05	Dishwasher
2008-02-25 23:11:41	2008-02-25 23:11:42	Pans Cupboard
2008-02-25 23:19:08	2008-02-25 23:19:09	Dishwasher
2008-02-25 23:21:24	2008-02-25 23:30:56	Hall-Bedroom door
2008-02-25 23:22:31	2008-02-25 23:24:35	Hall-Toilet door
2008-02-25 23:28:31	2008-02-25 23:28:32	Hall-Bathroom door
2008-02-25 23:28:36	2008-02-25 23:29:12	Hall-Bathroom door
2008-02-25 23:30:12	2008-02-25 23:30:52	Hall-Toilet door
2008-02-25 23:31:53	2008-02-25 23:32:30	Hall-Bedroom door
2008-02-25 23:32:33	2008-02-25 23:32:34	Hall-Bedroom door
2008-02-26 00:38:49	2008-02-26 00:38:50	Hall-Bedroom door
2008-02-26 00:38:52	2008-02-26 00:38:59	Hall-Toilet door
2008-02-26 00:38:53	2008-02-26 00:39:41	Hall-Bedroom door
2008-02-26 00:39:00	2008-02-26 00:39:01	Hall-Toilet door
2008-02-26 00:39:03	2008-02-26 00:39:04	Hall-Toilet door
2008-02-26 00:39:09	2008-02-26 00:39:10	Hall-Toilet door
2008-02-26 00:39:22	2008-02-26 00:39:23	Hall-Toilet door
2008-02-26 00:39:25	2008-02-26 00:39:26	ToiletFlush
2008-02-26 00:39:46	2008-02-26 00:39:47	Hall-Toilet door
2008-02-26 00:40:22	2008-02-26 00:40:23	Hall-Toilet door
2008-02-26 00:40:58	2008-02-26 00:40:59	Hall-Toilet door
2008-02-26 00:46:22	2008-02-26 00:46:23	Hall-Bedroom door
2008-02-26 00:46:27	2008-02-26 03:14:43	Hall-Bedroom door
2008-02-26 03:13:41	2008-02-26 03:13:45	Hall-Bathroom door
2008-02-26 03:14:36	2008-02-26 03:14:37	ToiletFlush
2008-02-26 03:14:39	2008-02-26 03:14:40	Hall-Bathroom door
2008-02-26 08:35:57	2008-02-26 08:35:58	Hall-Bedroom door
2008-02-26 08:36:00	2008-02-26 08:36:04	Hall-Bathroom door
2008-02-26 08:36:01	2008-02-26 08:36:02	Hall-Bedroom door
2008-02-26 08:36:08	2008-02-26 08:36:39	Hall-Bedroom door
2008-02-26 08:36:33	2008-02-26 08:36:37	Hall-Bathroom door
2008-02-26 09:15:24	2008-02-26 09:15:25	Hall-Bedroom door
2008-02-26 09:15:29	2008-02-26 23:02:40	Hall-Bedroom door
2008-02-26 09:15:40	2008-02-26 09:15:44	Hall-Bathroom door
2008-02-26 09:18:44	2008-02-26 09:18:57	Hall-Bathroom door
2008-02-26 09:18:44	2008-02-26 09:18:45	ToiletFlush
2008-02-26 09:26:45	2008-02-26 09:26:49	Plates cupboard
2008-02-26 09:26:50	2008-02-26 09:26:57	Groceries Cupboard
2008-02-26 09:27:16	2008-02-26 09:27:19	Groceries Cupboard
2008-02-26 09:28:32	2008-02-26 09:28:34	Fridge
2008-02-26 09:28:58	2008-02-26 09:29:01	Fridge
2008-02-26 09:48:12	2008-02-26 09:48:13	Hall-Toilet door
2008-02-26 09:48:16	2008-02-26 09:48:23	Hall-Toilet door
2008-02-26 09:58:04	2008-02-26 09:58:05	Hall-Toilet door
2008-02-26 09:58:09	2008-02-26 23:01:07	Hall-Toilet door
2008-02-26 10:06:18	2008-02-26 10:06:23	Frontdoor
2008-02-26 20:31:35	2008-02-26 20:31:36	Frontdoor
2008-02-26 20:31:39	2008-02-26 20:31:47	Frontdoor
2008-02-26 20:33:41	2008-02-26 20:35:06	Hall-Bathroom door
2008-02-26 21:02:40	2008-02-26 21:02:44	Hall-Bathroom door
2008-02-26 21:03:49	2008-02-26 21:03:50	ToiletFlush
2008-02-26 21:03:52	2008-02-26 21:03:55	Hall-Bathroom door
2008-02-26 21:39:29	2008-02-26 21:39:30	Fridge
2008-02-26 21:39:34	2008-02-26 21:39:43	Fridge
2008-02-26 21:40:00	2008-02-26 21:40:01	Cups cupboard
2008-02-26 21:40:03	2008-02-26 21:40:07	Fridge
2008-02-26 22:10:51	2008-02-26 22:10:52	Frontdoor
2008-02-26 22:10:55	2008-02-26 22:11:16	Frontdoor
2008-02-26 22:56:02	2008-02-26 22:56:06	Hall-Bathroom door
2008-02-26 22:57:57	2008-02-26 22:57:58	ToiletFlush
2008-02-26 22:58:28	2008-02-26 22:58:31	Hall-Bathroom door
2008-02-26 22:58:31	2008-02-26 22:58:32	Hall-Bathroom door
2008-02-26 22:58:35	2008-02-26 22:58:36	Hall-Bathroom door
2008-02-26 22:58:41	2008-02-26 22:58:42	Hall-Bathroom door
2008-02-26 22:58:53	2008-02-26 22:58:54	Hall-Bathroom door
2008-02-26 22:59:17	2008-02-26 22:59:18	Hall-Bathroom door
2008-02-26 22:59:54	2008-02-26 22:59:55	Hall-Bathroom door
2008-02-26 23:00:30	2008-02-26 23:00:31	Hall-Bathroom door
2008-02-26 23:01:52	2008-02-27 08:16:58	Hall-Toilet door
2008-02-27 05:29:23	2008-02-27 05:30:24	Hall-Bedroom door
2008-02-27 05:29:30	2008-02-27 05:29:33	Hall-Bathroom door
2008-02-27 05:30:14	2008-02-27 05:30:15	ToiletFlush
2008-02-27 05:30:16	2008-02-27 05:30:22	Hall-Bathroom door
2008-02-27 08:00:17	2008-02-27 08:00:18	Hall-Bedroom door
2008-02-27 08:00:22	2008-02-28 00:16:40	Hall-Bedroom door
2008-02-27 08:01:25	2008-02-27 08:01:29	Plates cupboard
2008-02-27 08:01:31	2008-02-27 08:01:50	Groceries Cupboard
2008-02-27 08:01:52	2008-02-27 08:01:53	Fridge
2008-02-27 08:01:57	2008-02-27 08:02:08	Fridge
2008-02-27 08:13:30	2008-02-27 08:13:31	Hall-Bathroom door
2008-02-27 08:13:35	2008-02-27 08:14:01	Hall-Bathroom door
2008-02-27 08:15:37	2008-02-27 08:15:38	ToiletFlush
2008-02-27 08:15:40	2008-02-27 08:15:45	Hall-Bathroom door
2008-02-27 08:26:34	2008-02-27 08:26:35	Hall-Toilet door
2008-02-27 08:26:38	2008-02-27 08:26:39	Hall-Toilet door
2008-02-27 08:34:37	2008-02-27 08:34:41	Frontdoor
2008-02-27 18:58:31	2008-02-27 18:58:35	Frontdoor
2008-02-27 18:59:56	2008-02-27 19:01:31	Groceries Cupboard
2008-02-27 19:00:01	2008-02-27 19:00:57	Fridge
2008-02-27 19:02:11	2008-02-27 19:02:17	Pans Cupboard
2008-02-27 19:02:26	2008-02-27 19:02:29	Fridge
2008-02-27 19:03:12	2008-02-27 19:03:15	Freezer
2008-02-27 19:05:15	2008-02-27 19:05:16	Fridge
2008-02-27 19:05:39	2008-02-27 19:05:40	Fridge
2008-02-27 19:08:12	2008-02-27 19:08:16	Fridge
2008-02-27 19:09:03	2008-02-27 19:09:05	Plates cupboard
2008-02-27 19:16:30	2008-02-27 19:16:34	Plates cupboard
2008-02-27 19:19:54	2008-02-27 19:19:57	Cups cupboard
2008-02-27 19:19:59	2008-02-27 19:20:03	Fridge
2008-02-27 20:35:28	2008-02-27 20:35:32	Hall-Bathroom door
2008-02-27 20:35:56	2008-02-27 20:35:57	ToiletFlush
2008-02-27 20:35:58	2008-02-27 20:36:01	Hall-Bathroom door
2008-02-27 23:03:26	2008-02-27 23:03:31	Hall-Bathroom door
2008-02-27 23:05:22	2008-02-27 23:05:23	ToiletFlush
2008-02-27 23:05:31	2008-02-27 23:05:37	Hall-Bathroom door
2008-02-27 23:06:12	2008-02-27 23:14:22	Dishwasher
2008-02-27 23:06:29	2008-02-27 23:13:52	Plates cupboard
2008-02-27 23:06:43	2008-02-27 23:06:46	Cups cupboard
2008-02-27 23:06:52	2008-02-27 23:11:25	Cups cupboard
2008-02-27 23:10:57	2008-02-27 23:11:05	Pans Cupboard
2008-02-27 23:16:52	2008-02-27 23:17:04	Plates cupboard
2008-02-27 23:20:18	2008-02-27 23:20:24	Fridge
2008-02-27 23:20:39	2008-02-27 23:20:41	Fridge
2008-02-27 23:23:09	2008-02-27 23:23:14	Fridge
2008-02-27 23:23:57	2008-02-27 23:24:09	Fridge
2008-02-27 23:26:19	2008-02-27 23:37:08	Hall-Bathroom door
2008-02-27 23:37:01	2008-02-27 23:37:02	ToiletFlush
2008-02-27 23:37:05	2008-02-27 23:37:06	ToiletFlush
2008-02-27 23:37:09	2008-02-28 00:10:39	Hall-Toilet door
2008-02-27 23:42:20	2008-02-27 23:42:21	Pans Cupboard
2008-02-28 00:10:42	2008-02-28 00:10:43	Hall-Toilet door
2008-02-28 00:11:10	2008-02-28 00:13:42	Hall-Bathroom door
2008-02-28 00:13:38	2008-02-28 00:13:39	ToiletFlush
2008-02-28 00:13:42	2008-02-28 00:13:43	Hall-Bathroom door
2008-02-28 00:13:46	2008-02-28 00:13:47	Hall-Bathroom door
2008-02-28 00:13:52	2008-02-28 00:13:53	Hall-Bathroom door
2008-02-28 00:13:54	2008-02-28 00:15:39	Hall-Toilet door
2008-02-28 00:15:43	2008-02-28 00:15:44	Hall-Toilet door
2008-02-28 00:16:11	2008-02-28 00:16:37	Hall-Toilet door
2008-02-28 00:20:18	2008-02-28 00:20:39	Hall-Bedroom door
2008-02-28 07:05:39	2008-02-28 07:05:40	Hall-Bedroom door
2008-02-28 07:05:44	2008-02-28 07:07:28	Hall-Bedroom door
2008-02-28 07:06:31	2008-02-28 07:06:35	Hall-Bathroom door
2008-02-28 07:07:16	2008-02-28 07:07:17	ToiletFlush
2008-02-28 07:07:19	2008-02-28 07:07:23	Hall-Bathroom door
2008-02-28 09:48:13	2008-02-28 09:48:14	Hall-Bedroom door
2008-02-28 09:48:19	2008-02-28 23:25:16	Hall-Bedroom door
2008-02-28 09:48:57	2008-02-28 09:49:01	Hall-Bathroom door
2008-02-28 09:49:28	2008-02-28 09:49:33	Hall-Bathroom door
2008-02-28 09:49:29	2008-02-28 09:49:30	ToiletFlush
2008-02-28 09:50:05	2008-02-28 09:50:08	Plates cupboard
2008-02-28 09:50:10	2008-02-28 09:50:33	Groceries Cupboard
2008-02-28 09:50:34	2008-02-28 09:50:35	Groceries Cupboard
2008-02-28 09:50:37	2008-02-28 09:50:38	Groceries Cupboard
2008-02-28 09:50:43	2008-02-28 09:50:44	Groceries Cupboard
2008-02-28 09:50:55	2008-02-28 09:50:56	Groceries Cupboard
2008-02-28 09:51:19	2008-02-28 09:51:20	Groceries Cupboard
2008-02-28 09:51:55	2008-02-28 09:51:56	Groceries Cupboard
2008-02-28 09:51:57	2008-02-28 09:51:58	Fridge
2008-02-28 10:35:28	2008-02-28 10:35:32	Hall-Bathroom door
2008-02-28 10:37:42	2008-02-28 10:37:43	ToiletFlush
2008-02-28 10:37:46	2008-02-28 10:37:47	Hall-Bathroom door
2008-02-28 10:38:03	2008-02-28 10:38:37	Hall-Toilet door
2008-02-28 10:46:21	2008-02-28 10:46:22	Hall-Toilet door
2008-02-28 10:46:25	2008-02-28 10:46:26	Hall-Toilet door
2008-02-28 10:58:16	2008-02-28 10:58:20	Frontdoor
2008-02-28 18:34:21	2008-02-28 18:34:24	Frontdoor
2008-02-28 18:35:25	2008-02-28 18:35:34	Fridge
2008-02-28 18:35:39	2008-02-28 18:35:42	Microwave
2008-02-28 18:37:02	2008-02-28 18:37:10	Microwave
2008-02-28 18:37:18	2008-02-28 18:37:22	Fridge
2008-02-28 18:37:28	2008-02-28 18:37:35	Microwave
2008-02-28 18:48:14	2008-02-28 18:48:15	Hall-Bathroom door
2008-02-28 18:48:41	2008-02-28 18:48:42	ToiletFlush
2008-02-28 18:48:44	2008-02-28 18:48:51	Hall-Bathroom door
2008-02-28 18:49:20	2008-02-28 18:49:21	Hall-Toilet door
2008-02-28 18:49:25	2008-02-28 18:51:23	Hall-Toilet door
2008-02-28 18:53:38	2008-02-28 18:53:41	Frontdoor
2008-02-28 21:35:13	2008-02-28 21:35:17	Frontdoor
2008-02-28 21:40:43	2008-02-28 21:40:46	Hall-Bathroom door
2008-02-28 21:42:03	2008-02-28 21:42:04	ToiletFlush
2008-02-28 21:42:17	2008-02-28 21:42:19	Hall-Bathroom door
2008-02-28 22:20:59	2008-02-28 22:21:00	Groceries Cupboard
2008-02-28 22:21:04	2008-02-28 22:21:11	Groceries Cupboard
2008-02-28 22:22:43	2008-02-28 22:22:44	Hall-Toilet door
2008-02-28 22:22:48	2008-02-28 23:23:15	Hall-Toilet door
2008-02-28 23:23:18	2008-02-28 23:23:19	Hall-Toilet door
2008-02-28 23:23:36	2008-02-28 23:23:37	Hall-Bathroom door
2008-02-28 23:23:39	2008-02-28 23:23:42	Hall-Bathroom door
2008-02-28 23:24:19	2008-02-28 23:24:20	ToiletFlush
2008-02-28 23:24:22	2008-02-28 23:24:25	Hall-Bathroom door
2008-02-28 23:24:43	2008-02-28 23:25:12	Hall-Toilet door
2008-02-29 08:03:19	2008-02-29 08:03:20	Hall-Bedroom door
2008-02-29 08:03:22	2008-02-29 08:03:23	Hall-Bathroom door
2008-02-29 08:03:25	2008-02-29 08:03:28	Hall-Bathroom door
2008-02-29 08:03:30	2008-02-29 08:04:25	Hall-Bedroom door
2008-02-29 08:04:13	2008-02-29 08:04:17	Hall-Bathroom door
2008-02-29 10:20:48	2008-02-29 10:20:49	Hall-Bedroom door
2008-02-29 10:20:53	2008-03-02 20:38:38	Hall-Bedroom door
2008-02-29 10:22:49	2008-02-29 10:22:52	Plates cupboard
2008-02-29 10:22:57	2008-02-29 10:23:03	Groceries Cupboard
2008-02-29 10:23:14	2008-02-29 10:23:17	Fridge
2008-02-29 10:30:05	2008-02-29 10:30:09	Hall-Bathroom door
2008-02-29 10:30:30	2008-02-29 10:30:31	ToiletFlush
2008-02-29 10:30:31	2008-02-29 10:30:32	ToiletFlush
2008-02-29 10:30:33	2008-02-29 10:30:37	Hall-Bathroom door
2008-02-29 10:30:59	2008-02-29 10:31:05	Hall-Toilet door
2008-02-29 10:31:08	2008-02-29 10:31:10	Hall-Toilet door
2008-02-29 10:38:10	2008-02-29 10:38:11	Hall-Toilet door
2008-02-29 10:38:15	2008-02-29 19:22:05	Hall-Toilet door
2008-02-29 10:48:55	2008-02-29 10:48:59	Frontdoor
2008-02-29 18:17:34	2008-02-29 18:17:38	Frontdoor
2008-02-29 18:18:16	2008-02-29 18:18:20	Fridge
2008-02-29 18:41:45	2008-02-29 18:41:49	Frontdoor
2008-02-29 19:20:53	2008-02-29 19:20:57	Frontdoor
2008-02-29 19:24:07	2008-02-29 19:24:09	Hall-Bathroom door
2008-02-29 19:24:56	2008-02-29 19:24:57	ToiletFlush
2008-02-29 19:25:01	2008-02-29 19:25:02	Hall-Bathroom door
2008-02-29 19:41:43	2008-02-29 19:41:44	Dishwasher
2008-02-29 19:41:48	2008-02-29 19:44:10	Dishwasher
2008-02-29 19:45:15	2008-02-29 19:45:30	Fridge
2008-02-29 19:46:09	2008-02-29 19:46:11	Cups cupboard
2008-02-29 19:46:13	2008-02-29 19:46:16	Plates cupboard
2008-02-29 19:46:43	2008-02-29 19:46:50	Fridge
2008-02-29 19:47:00	2008-02-29 19:47:04	Groceries Cupboard
2008-02-29 19:47:21	2008-02-29 19:47:25	Fridge
2008-02-29 19:49:37	2008-02-29 19:49:43	Pans Cupboard
2008-02-29 20:10:23	2008-02-29 20:10:27	Fridge
2008-02-29 20:13:08	2008-02-29 20:13:15	Pans Cupboard
2008-02-29 20:37:59	2008-02-29 20:38:02	Pans Cupboard
2008-02-29 20:43:39	2008-02-29 20:43:40	Fridge
2008-02-29 20:43:43	2008-02-29 20:43:44	Fridge
2008-02-29 20:43:50	2008-02-29 20:43:52	Fridge
2008-02-29 20:44:02	2008-02-29 20:44:06	Pans Cupboard
2008-02-29 20:45:08	2008-02-29 20:45:14	Fridge
2008-02-29 20:51:45	2008-02-29 20:51:49	Cups cupboard
2008-02-29 20:51:53	2008-02-29 20:51:54	Plates cupboard
2008-02-29 20:52:02	2008-02-29 20:52:03	Pans Cupboard
2008-02-29 20:52:04	2008-02-29 20:52:08	Pans Cupboard
2008-02-29 20:52:13	2008-02-29 20:52:14	Pans Cupboard
2008-02-29 20:52:25	2008-02-29 20:52:26	Pans Cupboard
2008-02-29 20:52:49	2008-02-29 20:52:50	Pans Cupboard
2008-02-29 20:53:26	2008-02-29 20:53:27	Pans Cupboard
2008-02-29 20:55:11	2008-02-29 20:55:12	Fridge
2008-02-29 20:55:14	2008-02-29 20:55:19	Freezer
2008-02-29 20:55:45	2008-02-29 20:55:47	Fridge
2008-02-29 20:58:41	2008-02-29 20:59:59	Pans Cupboard
2008-02-29 20:59:43	2008-02-29 20:59:45	Fridge
2008-02-29 22:03:22	2008-02-29 22:03:23	Frontdoor
2008-02-29 22:03:47	2008-02-29 22:03:48	Frontdoor
2008-03-02 19:37:41	2008-03-02 19:37:46	Frontdoor
2008-03-02 20:32:17	2008-03-02 20:32:18	Hall-Toilet door
2008-03-02 20:32:22	2008-03-02 20:37:06	Hall-Toilet door
2008-03-02 20:32:32	2008-03-02 20:34:10	Washingmachine
2008-03-02 20:37:08	2008-03-02 20:37:14	Hall-Bathroom door
2008-03-02 20:37:36	2008-03-02 20:37:37	ToiletFlush
2008-03-02 20:37:39	2008-03-02 20:37:42	Hall-Bathroom door
2008-03-02 20:38:51	2008-03-02 20:38:52	Hall-Bedroom door
2008-03-02 20:38:56	2008-03-02 20:39:31	Hall-Bedroom door
2008-03-02 20:38:57	2008-03-02 20:39:01	Hall-Toilet door
2008-03-02 20:56:43	2008-03-02 20:56:44	Hall-Bedroom door
2008-03-02 20:56:48	2008-03-02 22:03:54	Hall-Bedroom door
2008-03-02 20:57:35	2008-03-02 20:57:52	Freezer
2008-03-02 21:00:33	2008-03-02 21:00:34	Plates cupboard
2008-03-02 21:00:39	2008-03-02 21:00:45	Plates cupboard
2008-03-02 21:00:47	2008-03-02 21:00:52	Freezer
2008-03-02 21:01:11	2008-03-02 21:01:16	Freezer
2008-03-02 21:49:38	2008-03-02 21:49:39	Washingmachine
2008-03-02 21:49:43	2008-03-02 21:50:00	Washingmachine
2008-03-02 21:57:59	2008-03-02 21:58:00	Hall-Bathroom door
2008-03-02 21:58:03	2008-03-02 21:58:04	Hall-Bathroom door
2008-03-02 21:58:11	2008-03-02 21:58:30	Hall-Bathroom door
2008-03-02 21:58:25	2008-03-02 21:58:26	ToiletFlush
2008-03-02 22:03:14	2008-03-02 22:03:17	Hall-Bathroom door
2008-03-02 22:03:40	2008-03-02 22:03:41	ToiletFlush
2008-03-02 22:03:43	2008-03-02 22:03:46	Hall-Bathroom door
2008-03-03 08:49:53	2008-03-03 08:49:54	Hall-Bedroom door
2008-03-03 08:49:58	2008-03-05 00:22:10	Hall-Bedroom door
2008-03-03 08:50:27	2008-03-03 08:50:34	Hall-Bathroom door
2008-03-03 08:52:07	2008-03-03 08:52:11	Hall-Bathroom door
2008-03-03 09:01:38	2008-03-03 09:01:42	Plates cupboard
2008-03-03 09:01:44	2008-03-03 09:01:47	Groceries Cupboard
2008-03-03 09:01:48	2008-03-03 09:01:49	Groceries Cupboard
2008-03-03 09:02:00	2008-03-03 09:02:01	Plates cupboard
2008-03-03 09:02:04	2008-03-03 09:02:06	Groceries Cupboard
2008-03-03 09:02:07	2008-03-03 09:02:11	Fridge
2008-03-03 09:02:25	2008-03-03 09:02:28	Fridge
2008-03-03 09:17:23	2008-03-03 09:17:27	Hall-Toilet door
2008-03-03 09:17:41	2008-03-03 09:17:45	Hall-Toilet door
2008-03-03 09:31:35	2008-03-03 09:31:36	Hall-Toilet door
2008-03-03 09:31:40	2008-03-04 09:10:03	Hall-Toilet door
2008-03-03 09:45:05	2008-03-03 09:45:09	Frontdoor
2008-03-04 09:07:50	2008-03-04 09:07:54	Frontdoor
2008-03-04 09:10:44	2008-03-04 09:10:48	Hall-Bathroom door
2008-03-04 09:11:25	2008-03-04 09:11:26	Hall-Bathroom door
2008-03-04 09:11:26	2008-03-04 09:11:27	ToiletFlush
2008-03-04 09:11:30	2008-03-04 09:11:36	Hall-Bathroom door
2008-03-04 09:12:36	2008-03-04 18:20:36	Hall-Toilet door
2008-03-04 09:16:17	2008-03-04 09:16:21	Frontdoor
2008-03-04 18:19:48	2008-03-04 18:19:52	Frontdoor
2008-03-04 18:20:35	2008-03-04 18:20:38	Hall-Bathroom door
2008-03-04 18:22:54	2008-03-04 18:22:55	ToiletFlush
2008-03-04 18:22:58	2008-03-04 18:23:01	Hall-Bathroom door
2008-03-04 18:22:59	2008-03-04 18:29:09	Hall-Toilet door
2008-03-04 18:24:15	2008-03-04 18:25:08	Washingmachine
2008-03-04 18:29:10	2008-03-04 23:44:28	Hall-Bathroom door
2008-03-04 18:30:37	2008-03-04 18:30:41	Frontdoor
2008-03-04 23:43:27	2008-03-04 23:43:31	Frontdoor
2008-03-04 23:45:16	2008-03-04 23:45:19	Hall-Bathroom door
2008-03-04 23:46:18	2008-03-04 23:46:29	Washingmachine
2008-03-04 23:52:14	2008-03-04 23:52:25	Fridge
2008-03-04 23:52:28	2008-03-04 23:52:41	Cups cupboard
2008-03-04 23:52:43	2008-03-04 23:52:47	Fridge
2008-03-05 00:01:22	2008-03-05 00:01:26	Hall-Bathroom door
2008-03-05 00:04:18	2008-03-05 00:04:19	ToiletFlush
2008-03-05 00:04:25	2008-03-05 00:04:42	Hall-Toilet door
2008-03-05 00:18:13	2008-03-05 00:18:14	Hall-Toilet door
2008-03-05 00:18:18	2008-03-05 00:19:56	Hall-Toilet door
2008-03-05 00:20:28	2008-03-05 00:21:33	Hall-Bathroom door
2008-03-05 00:21:26	2008-03-05 00:21:27	ToiletFlush
2008-03-05 00:21:55	2008-03-05 00:21:59	Hall-Toilet door
2008-03-05 05:58:57	2008-03-05 05:58:58	Hall-Bedroom door
2008-03-05 05:59:02	2008-03-05 06:04:42	Hall-Bedroom door
